Word,Length,Freq_HAL,Log_Freq_HAL
the,3,23099033,16.96
to,2,12661276,16.35
of,2,11003606,16.21
and,3,10715411,16.19
a,1,10610626,16.18
in,2,8015301,15.9
I,1,7203352,15.79
is,2,6474135,15.68
that,4,5262331,15.48
you,3,5030485,15.43
for,3,4958036,15.42
it,2,4709218,15.37
on,2,3536061,15.08
this,4,3251989,14.99
with,4,3184846,14.97
be,2,3095437,14.95
have,4,3003873,14.92
are,3,2984459,14.91
as,2,2642511,14.79
or,2,2616965,14.78
not,3,2605564,14.77
if,2,2311232,14.65
but,3,2128964,14.57
was,3,2096827,14.56
at,2,1977887,14.5
from,4,1894943,14.45
by,2,1790440,14.4
my,2,1768938,14.39
your,4,1711893,14.35
will,4,1706009,14.35
all,3,1699638,14.35
can,3,1625073,14.3
they,4,1617818,14.3
an,2,1578013,14.27
one,3,1428618,14.17
do,2,1360645,14.12
what,4,1325779,14.1
there,5,1313357,14.09
about,5,1307019,14.08
me,2,1303959,14.08
would,5,1278502,14.06
so,2,1261201,14.05
we,2,1245247,14.03
he,2,1178718,13.98
has,3,1175962,13.98
no,2,1157549,13.96
any,3,1138564,13.95
out,3,1090659,13.9
more,4,1076711,13.89
like,4,1060831,13.87
some,4,1042740,13.86
wrote,5,1028146,13.84
just,4,1020539,13.84
which,5,980925,13.8
get,3,978898,13.79
when,4,944467,13.76
who,3,931859,13.74
up,2,931275,13.74
other,5,897942,13.71
don't,5,882900,13.69
article,7,861595,13.67
their,5,844722,13.65
his,3,842727,13.64
only,4,828014,13.63
them,4,801560,13.59
know,4,800100,13.59
time,4,788823,13.58
also,4,782967,13.57
people,6,768168,13.55
had,3,753477,13.53
how,3,747700,13.52
been,4,735347,13.51
new,3,709084,13.47
then,4,705900,13.47
than,4,702491,13.46
use,3,677371,13.43
it's,4,665860,13.41
were,4,663883,13.41
think,5,652944,13.39
good,4,628816,13.35
I'm,3,606965,13.32
now,3,599476,13.3
her,3,594844,13.3
should,6,594293,13.3
these,5,591805,13.29
very,4,587578,13.28
see,3,580882,13.27
please,6,580704,13.27
writes,6,565774,13.25
into,4,563310,13.24
well,4,552532,13.22
am,2,547593,13.21
could,5,544756,13.21
may,3,536229,13.19
does,4,525612,13.17
our,3,524609,13.17
make,4,520909,13.16
first,5,518924,13.16
want,4,508123,13.14
because,7,503563,13.13
most,4,495365,13.11
even,4,490549,13.1
way,3,490087,13.1
she,3,488052,13.1
much,4,483898,13.09
us,2,481870,13.09
here,4,477382,13.08
many,4,474923,13.07
information,11,467659,13.06
two,3,456473,13.03
where,5,454613,13.03
over,4,452595,13.02
work,4,451298,13.02
system,6,439448,12.99
need,4,415850,12.94
those,5,415648,12.94
after,5,414103,12.93
go,2,409671,12.92
same,4,401465,12.9
anyone,6,398422,12.9
really,6,398246,12.89
back,4,393090,12.88
its,3,388805,12.87
too,3,388628,12.87
right,5,388384,12.87
did,3,382593,12.85
find,4,378725,12.84
such,4,371015,12.82
him,3,368957,12.82
used,4,365662,12.81
still,5,363407,12.8
being,5,362268,12.8
why,3,361343,12.8
say,3,359478,12.79
said,4,352357,12.77
years,5,348898,12.76
before,6,344936,12.75
I've,4,339236,12.73
using,5,339069,12.73
help,4,335483,12.72
something,9,331899,12.71
take,4,330816,12.71
available,9,326758,12.7
software,8,325439,12.69
send,4,324164,12.69
since,5,320454,12.68
list,4,317096,12.67
problem,7,314595,12.66
off,3,312896,12.65
